10 3581 14235
0 0 0.118735 -0.0714038
1 0 -0.0770725 -0.0408537
0 1 0.287757 -0.0491855
1 1 0.0969741 -0.0235605
0 2 0.248965 0.03691
1 2 0.0568522 0.0593134
0 3 0.216638 0.0387615
1 3 0.0180602 0.063757
0 4 0.28868 0.0443161
1 4 0.105486 0.0665566
0 5 0.366264 0.0591282
1 5 0.174434 0.0803141
0 6 0.187082 0.0646828
1 6 -0.0107567 0.0870861
0 7 0.166763 0.0841237
1 7 -0.0244262 0.105416
0 8 0.195395 0.102639
1 8 -0.00133579 0.123006
0 9 0.353334 0.103565
1 9 0.143672 0.124857
0 10 0.192624 0.110045
1 10 -0.00410665 0.130412
0 11 0.199089 0.111896
1 11 0.00235868 0.133189
0 12 0.321007 0.119303
1 12 0.112269 0.139669
0 13 0.174152 0.129486
1 13 -0.0188845 0.148001
0 14 0.334861 0.129486
1 14 0.127047 0.148927
0 15 0.188006 0.134115
1 15 -0.00780112 0.15263
0 16 0.326549 0.135966
1 16 0.118735 0.156333
0 17 0.306229 0.148001
1 17 0.098415 0.167442
0 18 0.175999 0.15263
1 18 -0.0170373 0.171145
0 19 0.200013 0.161887
1 19 0.0032823 0.179477
0 20 0.33209 0.171145
1 20 0.126124 0.188734
0 21 0.304382 0.175774
1 21 0.0993386 0.194289
0 22 0.340403 0.175774
1 22 0.13536 0.193363
0 23 0.311771 0.1767
1 23 0.106728 0.194289
0 24 0.304382 0.178551
1 24 0.0978608 0.195955
0 25 0.309 0.178551
1 25 0.103033 0.196141
0 26 0.360723 0.194289
1 26 0.166578 0.210397
0 27 -0.302435 0.219284
1 27 -0.452061 0.230394
0 28 -0.299664 0.219284
1 28 -0.449291 0.230394
0 29 -0.294123 0.219284
1 29 -0.44652 0.231319
0 29 -0.296894 0.221136
0 30 -0.265491 0.222062
1 30 -0.41774 0.233726
0 31 -0.342151 0.223913
1 31 -0.488083 0.233171
0 32 -0.350463 0.224839
1 32 -0.493624 0.234097
0 33 0.205555 0.226691
1 33 0.0115949 0.241503
0 34 0.200013 0.228542
1 34 0.00605315 0.242428
0 35 -0.28581 0.229468
1 35 -0.441902 0.240577
0 36 0.188006 0.235022
1 36 -0.00318303 0.248909
0 37 -0.286734 0.240577
1 37 -0.443749 0.251686
0 38 -0.266414 0.240577
1 38 -0.421952 0.251501
0 39 -0.294123 0.247983
1 39 -0.454093 0.257055
0 40 0.269284 0.252612
1 40 0.0690439 0.265943
0 41 -0.356005 0.254463
1 41 -0.423113 0.253083
0 42 0.224027 0.255389
1 42 0.0300672 0.26835
0 43 0.268361 0.258166
1 43 0.0707064 0.271127
0 44 0.271132 0.260018
1 44 0.0725537 0.272978
0 45 0.273902 0.261869
1 45 0.0753245 0.27483
0 46 0.271132 0.263721
1 46 0.0725537 0.276682
0 47 0.277597 0.266498
1 47 0.0808662 0.278533
0 48 0.254506 0.267424
1 48 0.0586994 0.279459
0 49 -0.261796 0.276682
1 49 -0.413085 0.283717
0 50 -0.253484 0.321118
1 50 -0.40577 0.32571
0 51 -0.258102 0.327598
1 51 -0.413085 0.331486
0 52 -0.260873 0.343336
1 52 -0.418006 0.344906
0 53 -0.258102 0.345188
1 53 -0.41109 0.348372
0 54 0.28868 0.361851
1 54 0.098415 0.368332
0 55 0.315096 -0.123987
1 55 0.123574 -0.0942144
0 1 0.287387 -0.0495558
0 56 0.284062 -0.0406686
1 56 0.0901024 -0.0140067
0 57 0.188745 0.0370952
1 57 0.00493747 0.058558
0 58 0.106728 0.0415388
1 58 -0.0599671 0.0617574
0 6 0.184312 0.0648679
0 7 0.166578 0.0826425
0 59 0.333938 0.0837534
1 59 0.121505 0.106342
0 60 0.337263 0.0837534
1 60 0.127786 0.107083
0 9 0.352779 0.102639
0 61 0.196503 0.104861
1 61 -0.000412173 0.125783
0 62 0.197612 0.107083
1 62 0.000511445 0.127634
0 63 0.19872 0.111526
1 63 0.00143506 0.131337
0 64 0.19207 0.117081
1 64 -0.00410665 0.137818
0 65 0.318421 0.119303
1 65 0.110053 0.14041
0 66 0.332829 0.123746
1 66 0.126678 0.144854
0 67 0.174336 0.12819
1 67 -0.0185151 0.147075
0 68 0.329504 0.12819
1 68 0.121136 0.148186
0 69 0.184312 0.133744
1 69 -0.010572 0.153556
0 15 0.187637 0.133744
0 70 0.306229 0.148186
1 70 0.0989692 0.168183
0 71 0.311771 0.150408
1 71 0.104511 0.169294
0 72 0.315096 0.150408
1 72 0.107836 0.170404
0 73 0.175445 0.15263
1 73 -0.0185151 0.170404
0 74 0.166578 0.157074
1 74 -0.0235026 0.174848
0 19 0.199828 0.161517
0 20 0.332829 0.170404
0 75 0.339479 0.174848
1 75 0.134214 0.1924
0 76 0.311771 0.175959
1 76 0.105619 0.193734
0 24 0.304012 0.178181
0 28 -0.300034 0.219284
0 29 -0.294492 0.219284
0 77 -0.305576 0.222617
1 77 -0.45631 0.233726
0 78 -0.333284 0.223728
1 78 -0.480694 0.233171
0 79 -0.319984 0.223728
1 79 -0.467394 0.233726
0 32 -0.349909 0.224839
0 80 -0.339934 0.227061
1 80 -0.485312 0.236874
0 81 -0.326634 0.227061
1 81 -0.473305 0.235948
0 33 0.206478 0.227061
0 34 0.199828 0.228172
0 82 -0.314442 0.229283
1 82 -0.464992 0.238725
0 83 -0.285625 0.229283
1 83 -0.439131 0.239651
0 84 -0.291167 0.230394
1 84 -0.444673 0.241503
0 85 0.20537 0.231505
1 85 0.0106712 0.245206
0 38 -0.270109 0.241503
0 86 0.277412 0.247057
1 86 0.0768023 0.260388
0 40 0.268545 0.252612
0 87 -0.316659 0.253723
1 87 -0.476999 0.263721
0 42 0.224212 0.254834
0 88 -0.270109 0.255945
1 88 -0.4204 0.264387
0 89 0.268545 0.255945
1 89 0.0701523 0.269275
0 90 0.268545 0.259277
1 90 0.0701523 0.271497
0 91 0.272979 0.261499
1 91 0.0745856 0.27483
0 92 0.269654 0.263721
